trType,posX,posY,posZ,slopeXZ,slopeYZ
1,69081.7,54785,6435,0.0446,0.0112
2,68882.6,54774.8,3830,-0.1329,0.0319
2,68816.5,54816.6,3830,-0.2466,0.1065
