trType,posX,posY,posZ,slopeXZ,slopeYZ
2,95000.4,88985.1,55537,-0.0181,0.1532
2,95006.3,88942.3,55537,-0.0276,0.1179
1,94590.8,88284.8,56812,-0.1952,-0.2549
2,94974.3,88873.7,55537,-0.0558,0.0296
2,94716.4,88574.7,55537,-0.3408,-0.2931
2,95230.9,89052.5,55537,0.217,0.2236
2,95136,88965.7,55537,0.1276,0.1382
4,95274.1,89597.8,56812,0.1128,0.3977
3,95110,89258.5,59377,0.019,0.0897
3,95117.4,89261,59377,0.0306,0.0929
3,95182,89494.5,61970,0.0317,0.1065
3,95189,89493.8,61970,0.0305,0.1225
3,95189,89493.8,61970,0.04,0.0757
