trType,posX,posY,posZ,slopeXZ,slopeYZ
1,28276.9,73301.9,64795,0.0291,0.3221
2,27980.8,72722,62209,-0.0974,0.4234
2,27715.3,72308.5,62209,-0.3085,0.2031
3,28012.4,72037.4,62209,-0.1062,0.0289
6,28232.8,71886.4,60929,0.3479,-0.5144
3,28923.2,72423.1,64795,0.1872,0.0935
2,28585,72479.3,62209,0.2933,0.3313
4,28036.1,72100.5,60929,-0.5922,0.503
4,28189.4,71973.3,60929,0.1244,-0.0953
4,27566.2,72071.5,62209,-0.3465,0.0765
5,28705.9,71924.9,59629,-0.4572,0.0806
5,28605.8,71589.6,59629,-0.4162,0.3713
2,27631.4,72487.2,64795,-0.1348,0.1651
5,29052.1,72769.9,60929,-0.5857,-0.4092
2,28140.1,71889.7,60929,-0.0832,-0.5124
2,28172.5,72777.6,62209,0.0047,0.5228
2,28690,72342,64795,0.1308,0.0817
