trType,posX,posY,posZ,slopeXZ,slopeYZ
2,52228.5,64894.2,37482,-0.0174,0.0384
2,52255.3,64896.5,37482,0.0571,0.0447
2,52222.9,64899.1,37482,-0.0266,0.0547
2,52105.5,64760.1,37482,-0.3813,-0.3373
2,52043.3,64776.5,37482,-0.5596,-0.3005
6,52169.2,65086.5,37482,-0.1722,0.5754
4,52142.8,64812,37482,-0.2828,-0.0731
2,52333.4,65069.3,38776,0.058,0.1257
2,52271,64945,38776,0.025,0.0401
2,52432.3,65112.2,38776,0.1212,0.1468
2,52054.2,64962.3,40063,-0.0607,0.0297
2,53247.2,65328.8,42628,0.1852,0.0861
1,50837.4,65526.5,40063,-0.4763,0.2255
