trType,posX,posY,posZ,slopeXZ,slopeYZ
2,48791.9,93654.9,67115,0.209,-0.136
1,48464.5,93974.4,67115,-0.1104,0.1783
2,48336.8,93654.1,67115,-0.2577,-0.163
2,48421.3,93545.6,67115,-0.1545,-0.269
3,48952.4,93745.5,67115,0.383,-0.0676
3,49475.7,93667.8,68404,0.4282,-0.0595
2,49193.4,94042.8,68404,0.2698,0.1033
2,47976.2,93915.1,69684,-0.1609,0.0294
5,48519.5,93641.3,65829,0.1811,0.5367
4,48250.2,93514.4,67115,-0.3567,-0.3144
4,47352.2,94754.6,68404,-0.4573,0.4209
2,48849.8,94365.5,69684,0.0748,0.1531
