trType,posX,posY,posZ,slopeXZ,slopeYZ
2,48480.4,21217.2,15538,-0.0212,-0.007
1,48481.3,21265.2,12948,-0.2113,0.2437
2,47795.1,21857.1,14248,-0.4995,0.4291
2,48677.7,21283.9,14248,0.1158,0.0409
2,47968.3,22783.5,20669,-0.0744,0.2008
3,48612.8,21828,20669,0.0178,0.0841
3,48842,21729.6,23243,0.0295,0.0478
2,48453.6,21118.3,14248,-0.0273,-0.1182
3,49345.9,22486.1,24544,0.0739,0.1074
2,48425.2,21143.2,15538,-0.0536,-0.0142
3,47848.9,21540,37455,-0.0343,0.0003
3,47690.6,21527.4,43915,-0.0287,0.0007
3,50029.9,23540.8,34861,0.0615,0.1165
